,Album,Artist,Metascore,User Score,Release Date,Summary,Link to Album Page,Link to Artist Page,Publisher,Link to Publisher Page,Album Cover Image,Album Genres,No. of Critic Reviews,Link to Critic Reviews,No. of User Reviews,Link to User Reviews,Link to more Details and Album Credits,Amazon Link
10,Black Messiah,D'Angelo,95,8.8,"December 15, 2014","The first release in 14 years for the R&B singer features songs co-written with Q-Tip and Kendra Foster as well as co-production from James Gadson, Pino Palladino,and Questlove.",https://www.metacritic.com/music/black-messiah/dangelo,https://www.metacritic.com/person/dangelo,RCA,['https://www.metacritic.com/company/rca'],RCA,"Genre(s): 
R&B
Soul
Funk",30,https://www.metacritic.com/music/black-messiah/dangelo/critic-reviews,385 Ratings,https://www.metacritic.com/music/black-messiah/dangelo/user-reviews,https://www.metacritic.com/music/black-messiah/dangelo/details,
11,Conflict Of Interest,Ghetts,95,6.6,"February 19, 2021","The third full-length studio release for the British grime artist features guest appearances from BackRoad Gee, Dave, Giggs, Hamzaaand, Jaykae, Aida Lae, Miraa May, Pa Salieu, Emeli Sande, Moonchild Sanelly, Ed Sheeran, Skepta, Stormzy, and Wretch 32.",https://www.metacritic.com/music/conflict-of-interest/ghetts,https://www.metacritic.com/person/ghetts,Warner Records,['https://www.metacritic.com/company/warner-records'],Warner Records,"Genre(s): 
Electronic
Rap
R&B
British Rap
Grime",7,https://www.metacritic.com/music/conflict-of-interest/ghetts/critic-reviews,60 Ratings,https://www.metacritic.com/music/conflict-of-interest/ghetts/user-reviews,https://www.metacritic.com/music/conflict-of-interest/ghetts/details,https://www.amazon.com/dp/B08TCH9C7P%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB08TCH9C7P
12,Skeleton Tree,Nick Cave & the Bad Seeds,95,8.3,"September 9, 2016","Nick Cave's 15-year-old son died in an accident while he was working on the alternative rock band's 16th album. The recording sessions were filmed for Andrew Dominik's documentary, One More Time With Feel.",https://www.metacritic.com/music/skeleton-tree/nick-cave-the-bad-seeds,https://www.metacritic.com/person/nick-cave-the-bad-seeds,Bad Seeds Ltd.,['https://www.metacritic.com/company/bad-seeds-ltd'],Bad Seeds Ltd.,"Genre(s): 
Pop/Rock
Alternative/Indie Rock
Alternative Singer/Songwriter
Post-Punk",36,https://www.metacritic.com/music/skeleton-tree/nick-cave-the-bad-seeds/critic-reviews,385 Ratings,https://www.metacritic.com/music/skeleton-tree/nick-cave-the-bad-seeds/user-reviews,https://www.metacritic.com/music/skeleton-tree/nick-cave-the-bad-seeds/details,http://www.amazon.com/dp/B01GINERYM%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01GINERYM
13,Savane,Ali Farka Toure,94,8.4,"July 25, 2006","'Savane' is the final album from the acclaimed guitarist from Mali, who died in March 2006 after a three-decade recording career which found him injecting American blues into traditional African music.",https://www.metacritic.com/music/savane/ali-farka-toure,https://www.metacritic.com/person/ali-farka-toure,Nonesuch,['https://www.metacritic.com/company/nonesuch'],Nonesuch,"Genre(s): 
World",11,https://www.metacritic.com/music/savane/ali-farka-toure/critic-reviews,66 Ratings,https://www.metacritic.com/music/savane/ali-farka-toure/user-reviews,https://www.metacritic.com/music/savane/ali-farka-toure/details,
14,My Beautiful Dark Twisted Fantasy,Kanye West,94,8.4,"November 22, 2010","Breaking traditional mainstream hip-hop guidelines, Kanye West's latest release features epic raps and long instrumental variations for his most innovative album to date.",https://www.metacritic.com/music/my-beautiful-dark-twisted-fantasy/kanye-west,https://www.metacritic.com/person/kanye-west,Def Jam,['https://www.metacritic.com/company/def-jam'],Def Jam,"Genre(s): 
Pop
Rap
Pop/Rock
Midwest Rap
Pop-Rap",45,https://www.metacritic.com/music/my-beautiful-dark-twisted-fantasy/kanye-west/critic-reviews,3472 Ratings,https://www.metacritic.com/music/my-beautiful-dark-twisted-fantasy/kanye-west/user-reviews,https://www.metacritic.com/music/my-beautiful-dark-twisted-fantasy/kanye-west/details,http://www.amazon.com/My-Beautiful-Dark-Twisted-Fantasy/dp/B003X2O6KW%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB003X2O6KW
15,Madvillainy,Madvillain,93,8.9,"March 23, 2004",'Madvillainy' is a collaboration between rapper MF Doom and producer Madlib.,https://www.metacritic.com/music/madvillainy/madvillain,https://www.metacritic.com/person/madvillain,Stones Throw,['https://www.metacritic.com/company/stones-throw'],Stones Throw,"Genre(s): 
Indie
Rap",20,https://www.metacritic.com/music/madvillainy/madvillain/critic-reviews,738 Ratings,https://www.metacritic.com/music/madvillainy/madvillain/user-reviews,https://www.metacritic.com/music/madvillainy/madvillain/details,
16,A Crow Looked at Me,Mount Eerie,93,8.0,"March 24, 2017",The eighth full-length release for the music project of Phil Elverum was written after the death of his wife from cancer in July 2016.,https://www.metacritic.com/music/a-crow-looked-at-me/mount-eerie,https://www.metacritic.com/person/mount-eerie,P.W. Elverum & Sun Ltd.,['https://www.metacritic.com/company/pw-elverum-sun-ltd'],P.W. Elverum & Sun Ltd.,"Genre(s): 
Pop/Rock
Alternative/Indie Rock
Alternative Singer/Songwriter",18,https://www.metacritic.com/music/a-crow-looked-at-me/mount-eerie/critic-reviews,307 Ratings,https://www.metacritic.com/music/a-crow-looked-at-me/mount-eerie/user-reviews,https://www.metacritic.com/music/a-crow-looked-at-me/mount-eerie/details,http://www.amazon.com/dp/B01MT7IMX8%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01MT7IMX8
17,Room 25,Noname,93,8.4,"September 14, 2018",The debut full-length release for the Los Angeles-based Chicago rapper was self-released.,https://www.metacritic.com/music/room-25/noname,https://www.metacritic.com/person/noname,Self-released,['https://www.metacritic.com/company/self-released'],Self-released,"Genre(s): 
Rap",17,https://www.metacritic.com/music/room-25/noname/critic-reviews,243 Ratings,https://www.metacritic.com/music/room-25/noname/user-reviews,https://www.metacritic.com/music/room-25/noname/details,https://www.amazon.com/dp/B07H9G8MWT%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB07H9G8MWT
18,Live At Reading,Nirvana,93,8.8,"November 3, 2009",The entire performance by Nirvana at 1992's Reading Festival is released both as a CD and DVD.,https://www.metacritic.com/music/live-at-reading/nirvana,https://www.metacritic.com/person/nirvana,Geffen,['https://www.metacritic.com/company/geffen'],Geffen,"Genre(s): 
Rock
Alternative
Live",15,https://www.metacritic.com/music/live-at-reading/nirvana/critic-reviews,157 Ratings,https://www.metacritic.com/music/live-at-reading/nirvana/user-reviews,https://www.metacritic.com/music/live-at-reading/nirvana/details,
19,Love And Theft,Bob Dylan,93,8.8,"September 11, 2001","Picking up where 1997's resurgent 'Time Out of Mind' left off, 'Love And Theft' finds the 60-year-old Dylan self-producing the album's 12 tracks.",https://www.metacritic.com/music/love-and-theft/bob-dylan,https://www.metacritic.com/person/bob-dylan,Sony/Columbia,['https://www.metacritic.com/company/sonycolumbia'],Sony/Columbia,"Genre(s): 
Rock",20,https://www.metacritic.com/music/love-and-theft/bob-dylan/critic-reviews,159 Ratings,https://www.metacritic.com/music/love-and-theft/bob-dylan/user-reviews,https://www.metacritic.com/music/love-and-theft/bob-dylan/details,
20,My Dusty Road,Woody Guthrie,93,7.2,"August 25, 2009",The four-disc set includes Woody Guthrie's recordings from the mid-1940s in a definitive collection.,https://www.metacritic.com/music/my-dusty-road/woody-guthrie,https://www.metacritic.com/person/woody-guthrie,Rounder,['https://www.metacritic.com/company/rounder'],Rounder,"Genre(s): 
Folk
Singer-Songwriter",10,https://www.metacritic.com/music/my-dusty-road/woody-guthrie/critic-reviews,12 Ratings,https://www.metacritic.com/music/my-dusty-road/woody-guthrie/user-reviews,https://www.metacritic.com/music/my-dusty-road/woody-guthrie/details,
21,On the Impossible Past,The Menzingers,93,8.0,"February 21, 2012",The third full-length release from the punk rock band from Pennsylvania is its first on Epitaph Records.,https://www.metacritic.com/music/on-the-impossible-past/the-menzingers,https://www.metacritic.com/person/the-menzingers,Epitaph,['https://www.metacritic.com/company/epitaph'],Epitaph,"Genre(s): 
Pop/Rock
Alternative/Indie Rock
Alternative Pop/Rock",9,https://www.metacritic.com/music/on-the-impossible-past/the-menzingers/critic-reviews,47 Ratings,https://www.metacritic.com/music/on-the-impossible-past/the-menzingers/user-reviews,https://www.metacritic.com/music/on-the-impossible-past/the-menzingers/details,http://www.amazon.com/On-Impossible-Past-The-Menzingers/dp/B006OAB2SO%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB006OAB2SO
22,Prioritise Pleasure,Self Esteem,92,7.8,"October 22, 2021",The second full-length solo release for Slow Club's Rebecca Taylor was produced by Johan Karlberg.,https://www.metacritic.com/music/prioritise-pleasure/self-esteem,https://www.metacritic.com/person/self-esteem,Fiction,['https://www.metacritic.com/company/fiction'],Fiction,"Genre(s): 
Pop/Rock",12,https://www.metacritic.com/music/prioritise-pleasure/self-esteem/critic-reviews,58 Ratings,https://www.metacritic.com/music/prioritise-pleasure/self-esteem/user-reviews,https://www.metacritic.com/music/prioritise-pleasure/self-esteem/details,https://www.amazon.com/dp/B096KZPR11%3Ftag%3Dmetacritic-music-20%26linkCode%3Dosi%26th%3D1%26psc%3D1
23,Lemonade,Beyoncé,92,8.0,"April 23, 2016",The sixth solo studio album for the singer premiered as an hour-long HBO special before streaming on Tidal. A physical release is set for May 6.,https://www.metacritic.com/music/lemonade/beyonce,https://www.metacritic.com/person/beyonce,Parkwood,['https://www.metacritic.com/company/parkwood'],Parkwood,"Genre(s): 
Pop
R&B",33,https://www.metacritic.com/music/lemonade/beyonce/critic-reviews,3704 Ratings,https://www.metacritic.com/music/lemonade/beyonce/user-reviews,https://www.metacritic.com/music/lemonade/beyonce/details,https://www.amazon.com/dp/B01EPOY1AQ%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01EPOY1AQ
24,Ants From Up There,"Black Country, New Road",92,9.3,"February 4, 2022","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.",https://www.metacritic.com/music/ants-from-up-there/black-country-new-road,https://www.metacritic.com/person/black-country-new-road,Ninja Tune,['https://www.metacritic.com/company/ninja-tune'],Ninja Tune,"Genre(s): 
Pop/Rock
Alternative/Indie Rock
New Wave/Post-Punk Revival
Experimental Rock",20,https://www.metacritic.com/music/ants-from-up-there/black-country-new-road/critic-reviews,105 Ratings,https://www.metacritic.com/music/ants-from-up-there/black-country-new-road/user-reviews,https://www.metacritic.com/music/ants-from-up-there/black-country-new-road/details,https://www.amazon.com/dp/B09HZKHF3F%3Ftag%3Dmetacritic-music-20%26linkCode%3Dosi%26th%3D1%26psc%3D1
25,Pull Up Some Dust and Sit Down,Ry Cooder,92,6.9,"August 29, 2011",The Grammy-award winning musician returns with a concept album about corruption in America.,https://www.metacritic.com/music/pull-up-some-dust-and-sit-down/ry-cooder,https://www.metacritic.com/person/ry-cooder,Nonesuch,['https://www.metacritic.com/company/nonesuch'],Nonesuch,"Genre(s): 
Pop/Rock
Roots Rock",14,https://www.metacritic.com/music/pull-up-some-dust-and-sit-down/ry-cooder/critic-reviews,14 Ratings,https://www.metacritic.com/music/pull-up-some-dust-and-sit-down/ry-cooder/user-reviews,https://www.metacritic.com/music/pull-up-some-dust-and-sit-down/ry-cooder/details,http://www.amazon.com/Pull-Some-Dust-Sit-Down/dp/B005BY8MSM%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB005BY8MSM
26,Sunbather,Deafheaven,92,8.5,"June 11, 2013",The second full-length studio release for the San Francisco-based black metal band formed by George Clarke and Kerry McCoy was produced by Jack Shirley.,https://www.metacritic.com/music/sunbather/deafheaven,https://www.metacritic.com/person/deafheaven,Deathwish Records,['https://www.metacritic.com/company/deathwish-records'],Deathwish Records,"Genre(s): 
Pop/Rock
Alternative/Indie Rock
Post-Rock
Heavy Metal
Black Metal",18,https://www.metacritic.com/music/sunbather/deafheaven/critic-reviews,413 Ratings,https://www.metacritic.com/music/sunbather/deafheaven/user-reviews,https://www.metacritic.com/music/sunbather/deafheaven/details,http://www.amazon.com/Sunbather-Deafheaven/dp/B00CCEHX5W%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00CCEHX5W
27,Glow On,Turnstile,92,8.3,"August 27, 2021",The third full-length release for the Baltimore hardcore punk band features a guest appearance from Blood Orange and was recorded with producer Mike Elizondo.,https://www.metacritic.com/music/glow-on/turnstile,https://www.metacritic.com/person/turnstile,Roadrunner Records,['https://www.metacritic.com/company/roadrunner-records'],Roadrunner Records,"Genre(s): 
Pop/Rock",13,https://www.metacritic.com/music/glow-on/turnstile/critic-reviews,69 Ratings,https://www.metacritic.com/music/glow-on/turnstile/user-reviews,https://www.metacritic.com/music/glow-on/turnstile/details,https://www.amazon.com/dp/B099BYQNKY?tag=metacritic-music-20&linkCode=osi&th=1&psc=1
28,"Orphans: Brawlers, Bawlers & Bastards",Tom Waits,92,8.8,"November 21, 2006","Unlike typical rarities compilations, this 3-disc set includes 30 brand-new recordings--in addition to the usual mix of covers, soundtrack selections, and other previously uncompiled material. It's like getting three new Waits albums at once.",https://www.metacritic.com/music/orphans-brawlers-bawlers-bastards/tom-waits,https://www.metacritic.com/person/tom-waits,Anti,['https://www.metacritic.com/company/anti'],Anti,"Genre(s): 
Rock",32,https://www.metacritic.com/music/orphans-brawlers-bawlers-bastards/tom-waits/critic-reviews,167 Ratings,https://www.metacritic.com/music/orphans-brawlers-bawlers-bastards/tom-waits/user-reviews,https://www.metacritic.com/music/orphans-brawlers-bawlers-bastards/tom-waits/details,
29,Time Will Die and Love Will Bury It,Rolo Tomassi,92,7.2,"March 2, 2018",The fifth full-length studio release for the British rock band was recorded and mixed by Lewis Johns.,https://www.metacritic.com/music/time-will-die-and-love-will-bury-it/rolo-tomassi,https://www.metacritic.com/person/rolo-tomassi,Holy Roar,['https://www.metacritic.com/company/holy-roar'],Holy Roar,"Genre(s): 
Pop/Rock",7,https://www.metacritic.com/music/time-will-die-and-love-will-bury-it/rolo-tomassi/critic-reviews,87 Ratings,https://www.metacritic.com/music/time-will-die-and-love-will-bury-it/rolo-tomassi/user-reviews,https://www.metacritic.com/music/time-will-die-and-love-will-bury-it/rolo-tomassi/details,http://www.amazon.com/dp/B0776ZDP65%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0776ZDP65
30,Boy In Da Corner,Dizzee Rascal,92,8.8,"January 20, 2004","This is the debut disc for the 18-year-old London-based rapper (born Dylan Mills), who has been heralded by (among others) Uncut magazine as ""good as any MC currently active on Earth.""",https://www.metacritic.com/music/boy-in-da-corner/dizzee-rascal,https://www.metacritic.com/person/dizzee-rascal,Matador / XL,['https://www.metacritic.com/company/matador-xl'],Matador / XL,"Genre(s): 
Electronic
Rap",28,https://www.metacritic.com/music/boy-in-da-corner/dizzee-rascal/critic-reviews,191 Ratings,https://www.metacritic.com/music/boy-in-da-corner/dizzee-rascal/user-reviews,https://www.metacritic.com/music/boy-in-da-corner/dizzee-rascal/details,
31,You Want It Darker,Leonard Cohen,92,8.4,"October 21, 2016",The 14th full-length studio release for the Canadian singer-songwriter was produced by his son.,https://www.metacritic.com/music/you-want-it-darker/leonard-cohen,https://www.metacritic.com/person/leonard-cohen,Columbia,['https://www.metacritic.com/company/columbia'],Columbia,"Genre(s): 
Pop/Rock",28,https://www.metacritic.com/music/you-want-it-darker/leonard-cohen/critic-reviews,182 Ratings,https://www.metacritic.com/music/you-want-it-darker/leonard-cohen/user-reviews,https://www.metacritic.com/music/you-want-it-darker/leonard-cohen/details,http://www.amazon.com/You-Want-Darker-Leonard-Cohen/dp/B01KN6XDS6%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01KN6XDS6
32,Channel Orange,Frank Ocean,92,8.9,"July 17, 2012","Love and life in Los Angeles is the theme of the debut release on Def Jam for Frank Ocean, who earlier this month posted online the liner notes for this album describing a relationship he had with a man.",https://www.metacritic.com/music/channel-orange/frank-ocean,https://www.metacritic.com/person/frank-ocean,Def Jam,['https://www.metacritic.com/company/def-jam'],Def Jam,"Genre(s): 
R&B",46,https://www.metacritic.com/music/channel-orange/frank-ocean/critic-reviews,1074 Ratings,https://www.metacritic.com/music/channel-orange/frank-ocean/user-reviews,https://www.metacritic.com/music/channel-orange/frank-ocean/details,
33,The Satanist,Behemoth,92,8.6,"February 4, 2014","The tenth studio release for the Polish black/death metal band was produced with Daniel Bergstrand, Slawek Wieslawscy and Wojtek Wieslawscy.",https://www.metacritic.com/music/the-satanist/behemoth,https://www.metacritic.com/person/behemoth,Metal Blade,['https://www.metacritic.com/company/metal-blade'],Metal Blade,"Genre(s): 
Pop/Rock
Heavy Metal",10,https://www.metacritic.com/music/the-satanist/behemoth/critic-reviews,128 Ratings,https://www.metacritic.com/music/the-satanist/behemoth/user-reviews,https://www.metacritic.com/music/the-satanist/behemoth/details,http://www.amazon.com/Satanist-Behemoth/dp/B00HAH7H5W%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00HAH7H5W
34,Elephant,The White Stripes,92,8.6,"April 1, 2003","For their major label debut (and fourth LP overall), the Detroit-based duo of Jack and Meg White offer up 14 new tracks, all recorded in London and (fortunately) showing absolutely no trace of major label production values. Meg White takes a rare turn behind the microphone on a couple of tracks, as does guest Holly Golightly on the closing ""It's True That We Love One Another.""",https://www.metacritic.com/music/elephant/the-white-stripes,https://www.metacritic.com/person/the-white-stripes,V2,['https://www.metacritic.com/company/v2'],V2,"Genre(s): 
Indie
Rock",28,https://www.metacritic.com/music/elephant/the-white-stripes/critic-reviews,451 Ratings,https://www.metacritic.com/music/elephant/the-white-stripes/user-reviews,https://www.metacritic.com/music/elephant/the-white-stripes/details,
